Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
6.59129128	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59139164	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59149324	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59159264	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59165898	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59173602	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59180234	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59188304	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59198340	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59208526	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59218470	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59225102	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59234676	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59244714	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59254872	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59264814	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59271448	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59279152	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59285784	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59293856	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59303892	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59314080	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59324022	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59330656	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59340232	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59350266	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59360426	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59370368	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59377000	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
