Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
3.83682698	Operation	write	AccessPort	DRW	0xBB	OK	0x030FF000	
3.83687674	Operation	write	AccessPort	DRW	0xBB	OK	0xD1042B04	
3.83692648	Operation	write	AccessPort	DRW	0xBB	OK	0x79924613	
3.83698020	Operation	write	AccessPort	DRW	0xBB	OK	0x0240F042	
3.83702994	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0B719A	
3.83707966	Operation	write	AccessPort	DRW	0xBB	OK	0xF002795A	
3.83712940	Operation	write	AccessPort	DRW	0xBB	OK	0xF01002EF	
3.83717914	Operation	write	AccessPort	DRW	0xBB	OK	0xBF180F10	
3.83722888	Operation	write	AccessPort	DRW	0xBB	OK	0x0210F042	
3.83727862	Operation	write	AccessPort	DRW	0xBB	OK	0x715A4B06	
3.83732836	Operation	write	AccessPort	DRW	0xBB	OK	0xF003799B	
3.83737810	Operation	write	AccessPort	DRW	0xBB	OK	0xF01003EF	
3.83742784	Operation	write	AccessPort	DRW	0xBB	OK	0xBF180F20	
3.83747758	Operation	write	AccessPort	DRW	0xBB	OK	0x0310F043	
3.83752732	Operation	write	AccessPort	DRW	0xBB	OK	0x71934A01	
3.83757706	Operation	write	AccessPort	DRW	0xBB	OK	0xBF004770	
3.83762682	Operation	write	AccessPort	DRW	0xBB	OK	0x4006C000	
3.83767654	Operation	write	AccessPort	DRW	0xBB	OK	0x4B14B510	
3.83772630	Operation	write	AccessPort	DRW	0xBB	OK	0xF413681B	
3.83777604	Operation	write	AccessPort	DRW	0xBB	OK	0xD0215F80	
3.83782578	Operation	write	AccessPort	DRW	0xBB	OK	0x781B4B12	
3.83787554	Operation	write	AccessPort	DRW	0xBB	OK	0x0FFFF013	
3.83792528	Operation	write	AccessPort	DRW	0xBB	OK	0x4C10D006	
3.83797880	Operation	write	AccessPort	DRW	0xBB	OK	0xF87CF7FF	
3.83802856	Operation	write	AccessPort	DRW	0xBB	OK	0xF0137823	
3.83807830	Operation	write	AccessPort	DRW	0xBB	OK	0xD1F90FFF	
3.83812804	Operation	write	AccessPort	DRW	0xBB	OK	0x3200F44F	
3.83817776	Operation	write	AccessPort	DRW	0xBB	OK	0x601A4B0C	
3.83822750	Operation	write	AccessPort	DRW	0xBB	OK	0x4A0C2300	
3.83827724	Operation	write	AccessPort	DRW	0xBB	OK	0xF24070D3	
3.83832698	Operation	write	AccessPort	DRW	0xBB	OK	0x490B1203	
3.83838602	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.83869386	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.83875498	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.83880504	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF86FC	
3.83885476	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.83890454	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF876C	
3.83895432	Operation	write	AccessPort	DRW	0xBB	OK	0x00000238	
3.83900838	Operation	write	AccessPort	DRW	0xBB	OK	0x00000000	
3.83905812	Operation	write	AccessPort	DRW	0xBB	OK	0x00002000	
3.83910786	Operation	write	AccessPort	DRW	0xBB	OK	0x00000200	
3.83915760	Operation	write	AccessPort	DRW	0xBB	OK	0x00000000	
3.83920734	Operation	write	AccessPort	DRW	0xBB	OK	0x00000000	
3.83925708	Operation	write	AccessPort	DRW	0xBB	OK	0x00000000	
3.83930682	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8724	
3.83935656	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8734	
3.83940630	Operation	write	AccessPort	DRW	0xBB	OK	0x7FFFFFFE	
3.83945604	Operation	write	AccessPort	DRW	0xBB	OK	0x00000006	
3.83951504	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.83979240	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.83984950	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.83989950	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF875C	
3.83994926	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.84000344	Operation	read	AccessPort	DRW	0x9F	WAIT		
3.84001782	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84006760	Operation	read	AccessPort	DRW	0x9F	OK	0x7FFFFFFF	
