Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
31.28219027	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.28296556	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.28373789	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.28451132	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.28528670	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.28605938	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.28683472	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.28760756	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.28837997	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.28915564	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.28993090	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.29070124	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.29147658	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.29225196	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.29302467	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.29379967	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.29457292	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.29534606	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
31.29612159	Operation	write	AccessPort	DRW	0xBB	OK	0x00001481	
31.29689690	Operation	read	AccessPort	CSW	0x87	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
31.29766723	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x23000052	
